               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11989,            0.032752,            0.030101,           0.0036966,             0.74928,           0.0076667,           0.0016476,             0.10021,            0.022293,            0.025775,              0.0919,              0.0009,              0.0009
                   1,             0.09737,            0.035307,            0.026248,           0.0042566,             0.90909,            0.019515,           0.0050324,            0.073009,            0.019598,            0.027737,            0.082881,           0.0018812,           0.0018812
                   2,            0.082248,            0.032289,            0.024683,            0.010067,            0.026316,            0.033599,           0.0083753,            0.054523,            0.018707,            0.028644,            0.073843,           0.0028426,           0.0028426
                   3,            0.068802,            0.032249,            0.020371,             0.13673,             0.35215,            0.093889,            0.030606,            0.048959,            0.018674,            0.033026,            0.064784,           0.0037842,           0.0037842
                   4,             0.06577,            0.030174,            0.018313,             0.17435,             0.59474,             0.22881,               0.077,             0.04509,            0.018752,            0.038721,            0.055706,            0.004706,            0.004706
                   5,            0.060972,            0.027954,            0.016021,            0.064597,             0.52201,            0.051645,            0.014664,            0.056026,            0.017087,            0.037653,            0.046608,           0.0056079,           0.0056079
                   6,            0.063468,            0.026055,            0.015252,             0.25961,             0.69282,               0.316,            0.098232,            0.046942,            0.013085,            0.024792,             0.03749,           0.0064901,           0.0064901
                   7,            0.060093,            0.024902,            0.013772,             0.31265,             0.66555,             0.36692,             0.14074,            0.045936,            0.011958,            0.019936,            0.028353,           0.0073525,           0.0073525
                   8,            0.055887,            0.026891,            0.010736,             0.29026,             0.51579,             0.37816,             0.15901,            0.045519,            0.011736,            0.018204,            0.019195,           0.0081951,           0.0081951
                   9,            0.054144,            0.024518,           0.0099525,             0.17751,             0.44689,             0.21716,            0.077969,            0.051582,            0.011648,             0.01958,            0.010018,           0.0090179,           0.0090179
                  10,            0.056527,            0.024164,           0.0080865,             0.18308,             0.30678,             0.18485,            0.057875,            0.046883,            0.011839,            0.022232,             0.00901,             0.00901,             0.00901
                  11,            0.054343,            0.021218,           0.0085582,             0.22375,             0.32351,             0.18412,             0.09056,            0.048593,            0.012653,            0.018924,             0.00901,             0.00901,             0.00901
                  12,            0.044866,            0.023538,           0.0068922,             0.21077,             0.23971,             0.18235,            0.084483,            0.055025,             0.01201,            0.018762,            0.008911,            0.008911,            0.008911
                  13,            0.050781,            0.021698,           0.0062562,             0.34937,             0.37512,             0.33704,             0.17107,            0.043835,            0.011584,            0.018544,            0.008812,            0.008812,            0.008812
                  14,            0.049555,            0.022734,           0.0074487,             0.68843,             0.37416,              0.4272,             0.18673,            0.035763,            0.012042,            0.039716,            0.008713,            0.008713,            0.008713
                  15,            0.048528,            0.021436,           0.0057221,             0.66862,             0.41675,             0.45963,             0.16693,             0.04096,            0.011894,            0.036528,            0.008614,            0.008614,            0.008614
                  16,            0.046927,             0.01974,           0.0057384,             0.41446,             0.36695,             0.36175,             0.16611,             0.03461,            0.012304,            0.038953,            0.008515,            0.008515,            0.008515
                  17,             0.04706,            0.021712,           0.0053953,             0.36262,             0.39043,             0.40801,              0.1899,            0.032302,            0.012526,            0.038623,            0.008416,            0.008416,            0.008416
                  18,            0.042816,            0.022116,           0.0046112,              0.4333,             0.28048,             0.36645,             0.18877,            0.030993,            0.012875,            0.037106,            0.008317,            0.008317,            0.008317
                  19,            0.042619,            0.020873,           0.0059265,             0.49787,             0.32871,             0.42598,             0.24423,            0.033528,            0.012393,            0.019867,            0.008218,            0.008218,            0.008218
                  20,            0.043874,            0.020323,           0.0047498,             0.48906,             0.42584,             0.46808,             0.28357,            0.033532,            0.012436,            0.026201,            0.008119,            0.008119,            0.008119
                  21,            0.039701,            0.020122,           0.0055342,              0.4015,             0.41675,             0.30466,             0.15927,            0.042407,            0.012652,            0.026636,             0.00802,             0.00802,             0.00802
                  22,            0.040076,            0.020306,           0.0052108,             0.60665,             0.42204,             0.49325,             0.24144,            0.033534,            0.012554,            0.015556,            0.007921,            0.007921,            0.007921
                  23,            0.038149,            0.019176,             0.00382,              0.4444,             0.36316,             0.37478,             0.18101,            0.040015,            0.013482,            0.024075,            0.007822,            0.007822,            0.007822
                  24,            0.041278,            0.019949,           0.0035904,              0.5829,             0.38804,             0.43943,             0.23271,            0.035656,            0.013429,            0.021075,            0.007723,            0.007723,            0.007723
                  25,            0.038988,             0.01868,           0.0039374,             0.65683,             0.56236,             0.62132,             0.32705,            0.028118,            0.012999,            0.015532,            0.007624,            0.007624,            0.007624
                  26,            0.034806,            0.020698,           0.0035704,             0.82341,              0.4952,             0.63256,              0.3762,            0.029066,            0.013099,             0.03679,            0.007525,            0.007525,            0.007525
                  27,            0.038575,            0.017909,            0.004825,             0.68425,              0.5161,             0.59833,             0.38979,            0.032705,            0.014021,            0.017729,            0.007426,            0.007426,            0.007426
                  28,            0.037301,            0.019288,           0.0049189,              0.6446,             0.52624,             0.62762,             0.39363,            0.027181,            0.013597,            0.011664,            0.007327,            0.007327,            0.007327
                  29,            0.035099,            0.019068,           0.0051075,             0.75308,              0.4899,              0.5992,             0.34677,            0.028602,            0.013165,            0.012676,            0.007228,            0.007228,            0.007228
                  30,            0.037014,            0.019628,           0.0050411,             0.69116,             0.51654,             0.59544,             0.35628,             0.02658,            0.013939,            0.011325,            0.007129,            0.007129,            0.007129
                  31,            0.036343,            0.021736,           0.0056259,             0.70343,             0.58241,             0.66572,             0.32702,            0.027276,            0.012936,            0.011182,             0.00703,             0.00703,             0.00703
                  32,            0.036501,            0.019009,           0.0044329,             0.67871,             0.55271,             0.64722,             0.37367,            0.026346,              0.0132,            0.013106,            0.006931,            0.006931,            0.006931
                  33,            0.034164,            0.018878,           0.0045989,             0.60336,             0.60478,             0.64343,             0.38709,            0.027534,            0.012742,            0.028925,            0.006832,            0.006832,            0.006832
                  34,            0.033167,            0.019955,           0.0048548,             0.59423,             0.62297,             0.61301,             0.35857,            0.031496,            0.012865,             0.02238,            0.006733,            0.006733,            0.006733
                  35,            0.035302,            0.019872,           0.0040826,             0.58965,             0.58756,             0.61889,             0.34118,             0.03126,            0.014177,            0.025894,            0.006634,            0.006634,            0.006634
                  36,            0.032229,            0.017379,           0.0041347,             0.82473,             0.52656,             0.64496,             0.35285,            0.032387,             0.01379,            0.026758,            0.006535,            0.006535,            0.006535
                  37,            0.031243,            0.019795,           0.0039564,             0.77397,               0.543,             0.64062,             0.39567,            0.029171,            0.013652,            0.032527,            0.006436,            0.006436,            0.006436
                  38,            0.031808,            0.016648,           0.0035834,              0.6409,             0.66938,              0.6484,             0.39726,            0.029016,            0.013775,            0.032762,            0.006337,            0.006337,            0.006337
                  39,            0.033363,            0.018592,           0.0028788,             0.67075,             0.53301,             0.67508,             0.32068,            0.033876,            0.012745,            0.026559,            0.006238,            0.006238,            0.006238
                  40,            0.035476,            0.017758,           0.0063997,             0.61647,             0.62412,             0.66099,             0.35426,            0.032977,            0.013151,            0.022058,            0.006139,            0.006139,            0.006139
                  41,            0.032446,            0.018668,           0.0030484,             0.56885,               0.627,             0.61619,             0.34809,            0.029269,             0.01321,            0.025456,             0.00604,             0.00604,             0.00604
                  42,            0.033631,            0.016701,           0.0027983,             0.65415,             0.59665,             0.59486,             0.36412,            0.029099,            0.014336,            0.023654,            0.005941,            0.005941,            0.005941
                  43,            0.031762,            0.016651,           0.0044679,             0.62104,             0.67724,              0.6166,             0.34432,            0.027484,            0.013862,            0.032507,            0.005842,            0.005842,            0.005842
                  44,            0.031175,            0.017922,           0.0027152,             0.65662,             0.58038,             0.64851,             0.38999,            0.028256,            0.013391,            0.037196,            0.005743,            0.005743,            0.005743
                  45,            0.033252,            0.017915,           0.0028607,             0.70489,             0.66823,             0.65726,             0.39823,            0.026218,            0.013254,            0.032591,            0.005644,            0.005644,            0.005644
                  46,            0.030439,            0.017572,           0.0041276,             0.71401,             0.63397,             0.64949,             0.37703,            0.027925,            0.013636,            0.039114,            0.005545,            0.005545,            0.005545
                  47,            0.030134,            0.016981,           0.0053082,             0.80772,             0.59856,             0.65774,             0.41466,            0.025744,            0.013513,             0.04111,            0.005446,            0.005446,            0.005446
                  48,            0.029219,            0.018369,           0.0022249,             0.60867,              0.7218,             0.67218,             0.39996,            0.029855,            0.012544,            0.011308,            0.005347,            0.005347,            0.005347
                  49,            0.031292,            0.016609,           0.0038777,              0.7104,             0.60451,             0.67415,             0.40604,             0.02798,            0.013721,            0.029062,            0.005248,            0.005248,            0.005248
                  50,            0.028736,            0.017027,           0.0024962,             0.68626,             0.52488,             0.65305,             0.40722,            0.028606,            0.013358,            0.034613,            0.005149,            0.005149,            0.005149
                  51,            0.029409,            0.018381,           0.0022536,              0.5718,             0.61388,             0.63636,             0.38448,            0.024678,            0.013569,            0.046814,             0.00505,             0.00505,             0.00505
                  52,            0.028744,            0.015276,           0.0028986,             0.63359,              0.6478,             0.65409,               0.408,            0.027046,            0.013852,            0.031044,            0.004951,            0.004951,            0.004951
                  53,            0.027288,            0.016834,           0.0033543,             0.64006,             0.56029,             0.60299,             0.35425,            0.030018,            0.015371,            0.045558,            0.004852,            0.004852,            0.004852
                  54,            0.028829,             0.01588,           0.0018402,             0.69156,             0.57987,             0.57275,             0.34621,            0.028492,            0.016033,            0.032875,            0.004753,            0.004753,            0.004753
                  55,            0.029574,            0.016083,           0.0020177,              0.6043,             0.62996,             0.57271,             0.33955,            0.029573,            0.015524,             0.03219,            0.004654,            0.004654,            0.004654
                  56,            0.028228,            0.016827,           0.0027877,             0.62718,             0.57751,             0.61897,             0.34691,            0.029635,            0.014971,            0.034683,            0.004555,            0.004555,            0.004555
                  57,            0.026614,            0.015769,           0.0016413,             0.60324,             0.64019,             0.63067,             0.38701,            0.028284,            0.014693,            0.035654,            0.004456,            0.004456,            0.004456
